Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.2900, -0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.2900, -0.2900 (deg)

Reference Coordinates: X =  -3.016E+001 Y =   2.966E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000987
          4.000	          0.009646
          6.000	          0.030913
          8.000	          0.061123
         10.000	          0.098939
         12.000	          0.146261
         14.000	          0.200242
         16.000	          0.257294
         18.000	          0.318515
         20.000	          0.379314
         22.000	          0.438618
         24.000	          0.500658
         26.000	          0.556525
         28.000	          0.605444
         30.000	          0.657449
         32.000	          0.706090
         34.000	          0.747128
         36.000	          0.784885
         38.000	          0.819702
         40.000	          0.849552
         42.000	          0.876237
         44.000	          0.896067
         46.000	          0.912361
         48.000	          0.928902
         50.000	          0.940852
         52.000	          0.951444
         54.000	          0.961081
         56.000	          0.967281
         58.000	          0.973407
         60.000	          0.978062
         62.000	          0.982939
         64.000	          0.986565
         66.000	          0.989531
         68.000	          0.991369
         70.000	          0.992998
         72.000	          0.994960
         74.000	          0.996056
         76.000	          0.996927
         78.000	          0.998110
         80.000	          0.998602
         82.000	          0.999064
         84.000	          0.999323
         86.000	          0.999687
         88.000	          0.999864
         90.000	          0.999909
         92.000	          0.999909
         94.000	          0.999909
         96.000	          0.999909
         98.000	          0.999909
        100.000	          0.999909
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
