Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: -0.1500, 0.1500 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: -0.1500, 0.1500 (deg)

Reference Coordinates: X =   1.569E+001 Y =  -1.559E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000482
          4.000	          0.010920
          6.000	          0.032760
          8.000	          0.063418
         10.000	          0.105571
         12.000	          0.155305
         14.000	          0.211267
         16.000	          0.268421
         18.000	          0.328526
         20.000	          0.393904
         22.000	          0.457664
         24.000	          0.523646
         26.000	          0.583676
         28.000	          0.643128
         30.000	          0.695320
         32.000	          0.744473
         34.000	          0.784898
         36.000	          0.820181
         38.000	          0.854210
         40.000	          0.881041
         42.000	          0.904943
         44.000	          0.924439
         46.000	          0.939353
         48.000	          0.952519
         50.000	          0.963099
         52.000	          0.972436
         54.000	          0.979067
         56.000	          0.984226
         58.000	          0.989268
         60.000	          0.991623
         62.000	          0.994734
         64.000	          0.996502
         66.000	          0.997992
         68.000	          0.998723
         70.000	          0.999097
         72.000	          0.999463
         74.000	          0.999724
         76.000	          0.999878
         78.000	          0.999906
         80.000	          0.999906
         82.000	          0.999967
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
