Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.1500, 0.1500 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.1500, 0.1500 (deg)

Reference Coordinates: X =  -1.597E+001 Y =  -1.631E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.001239
          4.000	          0.011891
          6.000	          0.035731
          8.000	          0.072121
         10.000	          0.117090
         12.000	          0.169840
         14.000	          0.235163
         16.000	          0.296905
         18.000	          0.364596
         20.000	          0.437401
         22.000	          0.503702
         24.000	          0.568039
         26.000	          0.627487
         28.000	          0.685673
         30.000	          0.733562
         32.000	          0.780409
         34.000	          0.820699
         36.000	          0.854269
         38.000	          0.881985
         40.000	          0.904686
         42.000	          0.926146
         44.000	          0.943179
         46.000	          0.956326
         48.000	          0.967269
         50.000	          0.976330
         52.000	          0.982473
         54.000	          0.988273
         56.000	          0.992746
         58.000	          0.994790
         60.000	          0.997027
         62.000	          0.998341
         64.000	          0.999168
         66.000	          0.999654
         68.000	          0.999703
         70.000	          0.999989
         72.000	          1.000000
         74.000	          1.000000
         76.000	          1.000000
         78.000	          1.000000
         80.000	          1.000000
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
